crash_date,zip_code,latitude,longitude
2020-12-12,11232,40.6687,-73.9965
2020-12-15,NA,40.898594,-73.897095
2020-12-24,11226,40.640102,-73.96229
2020-12-26,NA,40.63082,-73.88636
2020-12-10,NA,40.687805,-73.833565
2020-12-26,NA,40.58464,-73.96017
2020-12-12,11213,40.667316,-73.93683
2020-12-25,11370,40.7672,-73.887825
2020-12-29,NA,40.833813,-73.86275
2020-12-22,10003,40.736137,-73.98512
2020-12-17,11235,40.58814,-73.93179
2020-12-16,11212,40.666737,-73.90224
2020-12-18,10301,40.6377,-74.08805
2020-12-18,NA,40.768753,-73.768936
2020-12-30,11413,40.689735,-73.74729
2020-12-15,11432,40.7168,-73.808105
2020-12-30,10458,40.868546,-73.88832
2020-12-24,NA,40.662846,-73.94284
2020-12-18,NA,40.881687,-73.90283
2020-12-30,NA,40.830154,-73.93964
2020-12-15,10456,40.83142,-73.91831
2020-12-15,NA,40.679367,-73.931335
2020-12-15,10454,40.80321,-73.91892
2020-12-17,11231,40.683743,-73.99524
2020-12-11,NA,40.75645,-73.97032
2020-12-17,11216,40.670006,-73.95328
2020-12-25,11207,40.6877,-73.91095
2020-12-25,11370,40.758743,-73.89069
2020-12-15,11207,40.67011,-73.89345
2020-12-20,NA,40.686928,-73.98484
2020-12-28,11223,40.603928,-73.980896
2020-12-10,11229,40.5983,-73.94149
2020-12-21,11414,40.664192,-73.841125
2020-12-09,11369,40.763664,-73.86778
2020-12-16,11224,40.580658,-73.985664
2020-12-16,11692,40.595547,-73.796425
2020-12-14,10016,40.75076,-73.980316
2020-12-09,11368,40.7558,-73.86535
2020-12-16,10306,40.575813,-74.11979
2020-12-20,NA,40.644176,-73.912926
2020-12-20,10452,40.836662,-73.91563
2020-12-11,11226,40.645832,-73.94712
2020-12-23,NA,40.755795,-73.96102
2020-12-10,NA,40.775642,-73.960526
2020-12-23,11375,40.71047,-73.85092
2020-12-26,10022,40.76152,-73.974556
2020-12-19,11212,40.660873,-73.90947
2020-12-29,11370,40.75719,-73.89041
2020-12-19,10454,40.810387,-73.91521
2020-12-24,NA,40.755116,-74.00248
2020-12-11,NA,40.764267,-73.9158
2020-12-16,11377,40.740967,-73.89523
2020-12-29,11226,40.655872,-73.95304
